AGE,BMDEPRESSION,BULKYDISEASE,CLINICALPRESENTATION,CLINICALSTAGE,EARLYRESULT,ERADICATION,FIVEYEARRESULT,GENERALHEALTHSTATUS,HELICOBACTERPYLORI,HEMORRHAGE,HISTOLOGICALCLASSIFICATION,IMMEDIATESURVIVAL,PERFORATION,POSTCTRTSURVIVAL,POSTSURGICALSURVIVAL,THERAPYADJUSTMENT,CTRTSCHEDULE,HELICOBACTERTREATMENT,SURGERY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,3
0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,1,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,2,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,-1,0
0,0,1,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,2,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,-1,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-3
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-3
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-3
0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2
0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,-3
0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,-3
0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,-3
0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,-2
0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-1
0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,-1
0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-1
